class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Foot,0.432023853,0.490916222,-0.431108773,0.999264061,0.42906934,0.473764896,-0.446026146,0.998401701,0.430395216,0.471086085,-0.445955992,0.997606039,0.431738943,0.46833387,-0.446063429,0.99772805,0.426540285,0.476028919,-0.418838412,0.998915434,0.426159143,0.474878609,-0.418943495,0.999130428,0.425801903,0.473742306,-0.418972552,0.999480784,0.442004442,0.449450165,-0.422892869,0.996364772,0.434556007,0.459809393,-0.292121619,0.999143124,0.442924887,0.489239216,-0.414784282,0.998969197,0.439833701,0.49214071,-0.377277821,0.999057591,0.52984333,0.429119438,-0.303801894,0.999646544,0.445780277,0.530696213,-0.213138312,0.999937773,0.59248215,0.407395959,-0.182318389,0.973043025,0.489452779,0.628149748,-0.172421783,0.956085265,0.599905252,0.509185433,-0.083712541,0.643351078,0.579719007,0.61829555,-0.236243919,0.874726713,0.606263816,0.52738297,-0.082495861,0.493675619,0.600004792,0.615742683,-0.263434649,0.744856596,0.597395003,0.533697665,-0.094806075,0.496508598,0.600046337,0.601962447,-0.278439254,0.748333156,0.592096925,0.527471423,-0.082369544,0.436525702,0.591688633,0.599505246,-0.240104839,0.707418442,0.597269356,0.622801244,-0.056322612,0.999748528,0.533305228,0.636136591,0.056253336,0.999830127,0.680845797,0.758288801,-0.078508556,0.987539411,0.481658876,0.77462858,-0.13861981,0.973146796,0.752589822,0.874863029,0.053317618,0.983426809,0.513070941,0.915001273,-0.020143684,0.967172563,0.757592618,0.885430455,0.058816839,0.835608602,0.531656861,0.935063481,-0.012053207,0.909622908,0.784006536,0.932577491,-0.086191386,0.948630333,0.48086834,0.957359612,-0.116236046,0.951201379
Foot,0.431090117,0.490423948,-0.455588341,0.999127805,0.428199291,0.473631412,-0.465801865,0.998078942,0.429613203,0.470864356,-0.465746552,0.99717921,0.431070417,0.467973202,-0.465853453,0.997395396,0.425824702,0.475930661,-0.443720162,0.998679698,0.425552845,0.474779576,-0.443821251,0.998915255,0.42538324,0.47361505,-0.443850815,0.999329865,0.441987693,0.448638916,-0.423798501,0.995852172,0.434673071,0.459350705,-0.313631922,0.998784363,0.442860305,0.489024967,-0.431578338,0.998802006,0.439677238,0.491935849,-0.400705487,0.998773694,0.528960586,0.429353148,-0.312957942,0.999651432,0.445782274,0.531225085,-0.220538855,0.999914646,0.595287263,0.406597495,-0.237009689,0.974365532,0.490097225,0.633419752,-0.17838414,0.952238023,0.599579096,0.509141684,-0.199344501,0.655653596,0.579887986,0.620776415,-0.253784686,0.8691746,0.605604053,0.528458655,-0.213824436,0.502005696,0.600755513,0.618718386,-0.285782158,0.738212347,0.596996129,0.533761144,-0.227259487,0.505240679,0.600382984,0.605145454,-0.304024994,0.741688609,0.591978431,0.527420998,-0.200545698,0.445406169,0.592311621,0.602208197,-0.259888738,0.699099302,0.597530484,0.624017417,-0.056323547,0.99971658,0.531983972,0.641213536,0.05625397,0.999790967,0.678842425,0.75800246,-0.060657572,0.986553311,0.484475374,0.775677383,-0.04434149,0.971897364,0.752002239,0.874852836,0.079730898,0.982404649,0.512313306,0.915089667,0.104562603,0.966328204,0.756859422,0.885499418,0.085828409,0.828732669,0.530433536,0.93513459,0.115250111,0.907386482,0.783982098,0.932335973,-0.060188971,0.945226133,0.479156494,0.957918942,0.021005834,0.948704183
Foot,0.428040653,0.489385664,-0.459246099,0.999123394,0.425635189,0.473009646,-0.470758826,0.998049378,0.427141011,0.470304638,-0.470698655,0.997159839,0.428750366,0.467488945,-0.470804602,0.997382045,0.423550367,0.475142002,-0.446633101,0.99864006,0.423478037,0.473992288,-0.446735293,0.998878956,0.423566967,0.472780377,-0.446759373,0.99929446,0.441320598,0.448398441,-0.430922806,0.995838583,0.434400141,0.458012998,-0.314999759,0.998692572,0.440040052,0.488752842,-0.436971337,0.998803675,0.436979353,0.491470456,-0.403666914,0.99873966,0.528986692,0.429394215,-0.322570682,0.999667883,0.445747942,0.531216204,-0.220677853,0.999906361,0.596695065,0.406333387,-0.236541361,0.975440204,0.490113735,0.633498073,-0.178462684,0.948931456,0.599527717,0.517807364,-0.183789879,0.671298265,0.577973902,0.622154117,-0.259117931,0.865309656,0.605561554,0.539412439,-0.195462555,0.517811894,0.599843979,0.622443736,-0.29211089,0.734359801,0.596992314,0.542502701,-0.210593015,0.521138847,0.599224687,0.608207643,-0.311528862,0.737889767,0.591987967,0.534662426,-0.184743419,0.460744828,0.591146111,0.604757547,-0.265872777,0.694444239,0.598549783,0.624209344,-0.057195861,0.999717176,0.532371879,0.64279449,0.057131864,0.999790251,0.680299878,0.758259594,-0.060226746,0.98672092,0.485444784,0.775197268,-0.085383892,0.972323895,0.753123403,0.874851584,0.10546805,0.982842743,0.511988997,0.913457513,0.064513899,0.96747911,0.757975698,0.885826349,0.113992557,0.830793917,0.529613853,0.934157133,0.07589414,0.909963667,0.785693049,0.932272792,-0.036247306,0.94610697,0.477473646,0.956686199,-0.024856636,0.950035334
Foot,0.427632809,0.489366323,-0.453180969,0.999170721,0.425427675,0.47301361,-0.466408104,0.998151183,0.426973641,0.470307887,-0.466347933,0.997304976,0.428626299,0.467491448,-0.466454089,0.9975214,0.423322916,0.475143969,-0.440767765,0.998711705,0.423268855,0.473992318,-0.440871,0.998936296,0.423400164,0.47276929,-0.440898836,0.999330938,0.441407681,0.44839862,-0.425187767,0.996071458,0.434653938,0.457587093,-0.310983002,0.998754501,0.439889967,0.488854706,-0.433264583,0.998869777,0.436694473,0.491530061,-0.398199916,0.998804331,0.529220641,0.429870337,-0.313172877,0.99968344,0.445917904,0.530941069,-0.220145538,0.999905467,0.597712278,0.405909687,-0.194984302,0.976300418,0.490073383,0.633885562,-0.175850421,0.947352707,0.600275457,0.5150249,-0.098867461,0.681123793,0.577197909,0.622192204,-0.237948015,0.862132907,0.606427848,0.538130641,-0.099841066,0.527384579,0.599223554,0.622407198,-0.268813491,0.729847848,0.597881377,0.538561523,-0.116956055,0.531217217,0.597363234,0.607895195,-0.285764843,0.73363781,0.59309876,0.533162951,-0.09952344,0.470986307,0.589936256,0.604559124,-0.243098542,0.689564407,0.59935832,0.624575675,-0.057212465,0.999723852,0.534712315,0.644319236,0.057151556,0.999797583,0.680138052,0.758282125,-0.061399926,0.98718673,0.485391378,0.7739411,-0.12519905,0.973145783,0.752784073,0.874384344,0.109536484,0.983370602,0.512207329,0.913465858,0.011998883,0.968881667,0.757526755,0.88553977,0.118839704,0.833530188,0.529967487,0.934195161,0.021928649,0.913261116,0.786486268,0.933696747,-0.028736209,0.947573662,0.476874769,0.956729293,-0.083445057,0.952099025
Foot,0.426808119,0.48898977,-0.413673788,0.999130905,0.4251917,0.47271505,-0.426392168,0.998046696,0.426825702,0.470100701,-0.426309526,0.997177899,0.428541899,0.467370868,-0.426384389,0.997407198,0.423137039,0.474566281,-0.400768816,0.99863553,0.423190743,0.473340094,-0.400866598,0.998876512,0.423398316,0.472003937,-0.400912613,0.999285758,0.441753477,0.448495954,-0.398603052,0.995870292,0.435357571,0.457205594,-0.278213531,0.998649299,0.43920517,0.488869607,-0.397157699,0.998771429,0.436057001,0.49146986,-0.362287372,0.998667061,0.529216766,0.432826459,-0.305012077,0.999661148,0.446061373,0.530961096,-0.200101376,0.999891698,0.598955274,0.407572776,-0.207258791,0.975605547,0.48922044,0.633765399,-0.164279908,0.941634178,0.599581122,0.521827102,-0.145616144,0.679488659,0.573612928,0.622159839,-0.225556344,0.851873159,0.604887962,0.54621762,-0.154301733,0.524733603,0.59588331,0.622164547,-0.253394067,0.717099249,0.596070647,0.546146572,-0.16577813,0.528267205,0.59326762,0.607677877,-0.268059909,0.721013606,0.591432869,0.53907913,-0.145367593,0.468307525,0.586044371,0.60441035,-0.230241016,0.676953137,0.59936893,0.626541138,-0.057293843,0.999696672,0.534769058,0.648767292,0.057212997,0.99977541,0.679840207,0.75849551,-0.062050782,0.98709017,0.485351563,0.776913822,-0.077453032,0.972983778,0.753630757,0.874676943,0.100447476,0.98351419,0.512220502,0.913546264,0.077589169,0.969446361,0.757645786,0.885589361,0.108480237,0.833038568,0.529985428,0.934175432,0.089296363,0.914053261,0.787169814,0.933680594,-0.042939153,0.947522044,0.476056993,0.956732035,-0.001451979,0.952522635
Foot,0.426289499,0.490027368,-0.361648828,0.999123931,0.424663842,0.474532753,-0.376342475,0.998007715,0.426222712,0.472087443,-0.376275688,0.997135699,0.427884877,0.469492942,-0.376348495,0.997381449,0.42279768,0.47593981,-0.348326951,0.998610437,0.422919899,0.474571347,-0.348398745,0.998855531,0.423202187,0.47305125,-0.348426819,0.99927175,0.44157356,0.450939953,-0.363504648,0.995770931,0.435371637,0.457734704,-0.230142593,0.998594284,0.438299984,0.49044323,-0.350410104,0.998752952,0.435596138,0.492583334,-0.312198758,0.998638093,0.529172063,0.433945179,-0.286138028,0.999667048,0.446058989,0.529493392,-0.159534171,0.999888957,0.598807454,0.40756017,-0.211728051,0.976012886,0.487390369,0.632596433,-0.113007806,0.933711231,0.59881407,0.52243197,-0.157991171,0.68452996,0.568125427,0.622404814,-0.162594497,0.840123475,0.602800131,0.549132109,-0.168905526,0.529773474,0.588913858,0.623259306,-0.186538711,0.703191876,0.591667771,0.546586037,-0.177892745,0.532847166,0.587158203,0.607515574,-0.201178581,0.70769918,0.587855458,0.540760398,-0.157205597,0.472088009,0.579139352,0.604298055,-0.167168826,0.664641321,0.599680781,0.62842083,-0.061183952,0.999685407,0.536080956,0.649392724,0.061071325,0.999769092,0.679842651,0.758724391,-0.056292027,0.987799048,0.485326111,0.776078582,-0.084969968,0.973690569,0.754067898,0.874348879,0.091930799,0.984340727,0.512391686,0.913383603,0.051397383,0.970966041,0.757995546,0.883911312,0.099156253,0.835813224,0.530091345,0.934162915,0.061361291,0.917109311,0.787109137,0.933665693,-0.046596516,0.949675202,0.475497395,0.956193388,-0.032296635,0.954824805
Foot,0.426071823,0.490395904,-0.484233677,0.999076545,0.424431711,0.474889874,-0.49396342,0.997895122,0.426088631,0.472416192,-0.493889183,0.996948302,0.427823395,0.469782144,-0.494005144,0.997230828,0.42239514,0.476411253,-0.472005427,0.998568594,0.42252478,0.475125521,-0.472141594,0.998816848,0.42282176,0.473678976,-0.472185373,0.999254525,0.441646039,0.451375604,-0.445874065,0.995480061,0.435329378,0.459099561,-0.339198053,0.998557031,0.438386738,0.490941197,-0.458690703,0.99865675,0.435622692,0.493247479,-0.428139776,0.998581707,0.528921425,0.434374005,-0.326014757,0.999633074,0.446028709,0.53528434,-0.245479867,0.999885917,0.598686278,0.405780196,-0.232085779,0.974783063,0.48746413,0.635408044,-0.203446075,0.933685362,0.598366976,0.517344058,-0.178368285,0.673613429,0.569640219,0.628453076,-0.264607251,0.838122368,0.60235852,0.540936589,-0.188713834,0.518901885,0.591766059,0.631741643,-0.296747237,0.69993031,0.59175396,0.539059818,-0.20466879,0.522003531,0.592299581,0.618198097,-0.313057154,0.703667998,0.588008344,0.527311504,-0.180344865,0.461548328,0.585183024,0.612487614,-0.269486457,0.659224451,0.599675536,0.628390253,-0.057287239,0.999658048,0.535267174,0.648830354,0.057249535,0.999764264,0.679210544,0.758545518,-0.05826528,0.987031579,0.483950675,0.77774626,-0.12224187,0.973938227,0.753039002,0.873482049,0.107726075,0.983484924,0.512932181,0.914873183,0.045407332,0.971284866,0.756219983,0.883625925,0.116809741,0.828872859,0.530914426,0.935363352,0.059790481,0.917957008,0.786857367,0.933480263,-0.032137971,0.946980596,0.475932658,0.956821799,-0.042790443,0.954703152
Foot,0.426183522,0.490396798,-0.341798127,0.999084592,0.424448103,0.474873453,-0.351702422,0.997890234,0.426079601,0.472397387,-0.351656109,0.996929407,0.427790105,0.469766587,-0.351727515,0.997223079,0.422437012,0.476403892,-0.3268736,0.998585105,0.422556698,0.475099951,-0.326947182,0.998827338,0.42284146,0.473620445,-0.326970994,0.999260366,0.441625744,0.451340169,-0.32088396,0.995420396,0.435372025,0.458899975,-0.202035636,0.998559773,0.438459247,0.490976721,-0.3242746,0.99866575,0.435638279,0.493236452,-0.290270358,0.998598635,0.528924286,0.434305638,-0.242357567,0.999633074,0.446028709,0.534831405,-0.1317323,0.999884427,0.598912179,0.407094687,-0.177537769,0.975212932,0.487317026,0.635171592,-0.10199596,0.931913435,0.598336339,0.517309487,-0.153505549,0.676949799,0.569247842,0.627865911,-0.176396325,0.834046781,0.602373779,0.54137671,-0.183454454,0.52050662,0.591693103,0.63027817,-0.205102369,0.693928599,0.5915429,0.540206373,-0.185344726,0.52296555,0.591258049,0.616504967,-0.219515175,0.697322547,0.587952256,0.532500982,-0.153616533,0.462361485,0.58365643,0.611373186,-0.181357726,0.653082848,0.600919604,0.634249687,-0.061030794,0.999646902,0.536764741,0.653093755,0.060943313,0.999760449,0.680435777,0.760848284,-0.06893409,0.98716116,0.483402967,0.777662396,-0.119220421,0.973713994,0.754482985,0.874801755,0.084602669,0.983401179,0.512203097,0.91466403,0.030185279,0.971607745,0.758479834,0.883990586,0.094109997,0.830926657,0.530761182,0.935253561,0.041666351,0.919832587,0.787419975,0.933542013,-0.037426919,0.946541369,0.474816084,0.957057595,-0.045963593,0.955122173
Foot,0.426233947,0.490448207,-0.42385155,0.999063611,0.424347728,0.47486797,-0.433969826,0.997785032,0.425950766,0.472382188,-0.433941782,0.996765971,0.42763868,0.469745934,-0.434067816,0.997106135,0.422466844,0.476398528,-0.408100039,0.998544574,0.422568321,0.475072473,-0.408201694,0.998782098,0.422944695,0.473544121,-0.408215702,0.999233484,0.441597283,0.451310694,-0.393188059,0.995081484,0.43551445,0.458826005,-0.269689023,0.998477876,0.438492209,0.49105075,-0.402117431,0.998633862,0.436085045,0.493227988,-0.366710067,0.998590648,0.527967334,0.434712082,-0.302574575,0.999641716,0.445956647,0.5345819,-0.142179132,0.999884844,0.598893881,0.407120913,-0.260638714,0.976541638,0.485316366,0.636277556,-0.127517328,0.931210876,0.6122154,0.510152519,-0.261594683,0.691540837,0.566452265,0.630433917,-0.209755659,0.832948565,0.615425467,0.533266127,-0.287463278,0.536049426,0.590222597,0.633776546,-0.247188449,0.692169666,0.592924714,0.540075183,-0.300657392,0.538004339,0.590678155,0.620363295,-0.267982215,0.695110321,0.590904951,0.531491518,-0.264614075,0.475500673,0.583105981,0.615072131,-0.218670696,0.6506024,0.600902438,0.633915007,-0.062956639,0.999637067,0.537608862,0.652330637,0.062912188,0.999764919,0.680457175,0.760556042,-0.067484021,0.987713277,0.480886608,0.771005571,-0.148400635,0.974727452,0.753969073,0.872091234,0.120348051,0.983981073,0.51190412,0.912624896,-0.005785652,0.972861111,0.75823158,0.881034195,0.132640153,0.835619926,0.530712962,0.933494449,0.004850144,0.923453867,0.787363648,0.932853818,-0.005834546,0.947577655,0.474791229,0.956971705,-0.092315212,0.956709445
Foot,0.424821079,0.490452766,-0.432010889,0.999090195,0.422716081,0.474717081,-0.442344993,0.997840464,0.42445001,0.472252578,-0.442292273,0.996835887,0.426270485,0.469635755,-0.442399651,0.997159958,0.420660555,0.476283073,-0.415885299,0.998591125,0.42076689,0.47499916,-0.416000456,0.998822153,0.421071917,0.473497868,-0.416036516,0.999259293,0.441016912,0.451265454,-0.404200941,0.995149076,0.434729636,0.458623469,-0.276906192,0.99853307,0.437624931,0.491092116,-0.411535919,0.998665571,0.435088634,0.493252844,-0.375337064,0.99863863,0.527865708,0.434951991,-0.305062056,0.999634326,0.445813477,0.534977615,-0.167790025,0.999885082,0.600891769,0.407494605,-0.241078526,0.976747036,0.48521471,0.640712559,-0.159713686,0.931616247,0.608350158,0.510729015,-0.204218671,0.695248306,0.567439377,0.631514847,-0.248596355,0.835423231,0.608897567,0.533719301,-0.219576165,0.53805387,0.590726852,0.633865893,-0.283090055,0.694821537,0.592369556,0.537904501,-0.228991061,0.539430857,0.590907693,0.619939923,-0.299002826,0.697202086,0.59014523,0.530989647,-0.203960627,0.475130528,0.583394229,0.615422308,-0.254320234,0.652232707,0.601358712,0.633922517,-0.062703736,0.999640346,0.536912084,0.652146995,0.062652074,0.999773681,0.68108362,0.763301551,-0.059816889,0.988015056,0.48134613,0.772561908,-0.136756688,0.975539804,0.754541993,0.872674942,0.14110145,0.984579444,0.511907935,0.912631333,0.032349631,0.974183023,0.758847952,0.881251037,0.153592199,0.840091825,0.530718684,0.933465183,0.046631251,0.926726103,0.787429094,0.932747781,0.011026589,0.94892633,0.474853605,0.957032382,-0.052235417,0.958488584
